casa: vivienda residencial
perro: mascota leal
elefante: paquidermo africano
león: felino rey
tigre: depredador rayado
zorro: cánido astuto
jirafa: herbívoro cuello largo
ballena: cetáceo marino
lobo: cánido salvaje
oso: mamífero omnívoro
águila: ave rapaz
caballo: equino doméstico
vaca: bovino lechero
oveja: ovino lanar
pato: anátido palmípedo
rana: anfibio saltador
pez: vertebrado acuático
mariposa: insecto lepidóptero
serpiente: reptil ofidio
murciélago: mamífero quiróptero
martillo: herramienta percusora
silla: asiento individual
mesa: superficie plana
lámpara: fuente luminosa
cuchillo: utensilio cortante
tenedor: cubierto punzante
taza: recipiente cilíndrico
computadora: dispositivo computacional
teléfono: aparato comunicador
libro: texto encuadernado
puerta: acceso abatible
ventana: abertura vidriada
espejo: superficie reflectante
cama: mueble dormitorio
reloj: indicador horario
bolígrafo: instrumento escritura
teclado: interfaz alfanumérica
ratón: periférico apuntador
caja: contenedor cúbico
botella: envase líquido
médico: profesional sanitario
ingeniero: experto técnico
profesor: docente educativo
arquitecto: diseñador edificaciones
bombero: rescatista incendios
policía: agente seguridad
abogado: jurista litigante
panadero: elaborador pan
carpintero: artesano madera
electricista: instalador eléctrico
plomero: reparador tuberías
mecánico: técnico vehículos
enfermero: cuidador salud
jardinero: cultivador plantas
chef: cocinero profesional
pintor: artista pigmentos
actor: intérprete escénico
cantante: vocalista melódico
dentista: odontólogo bucal
piloto: conductor aéreo
montaña: elevación terrestre
río: corriente fluvial
bosque: ecosistema arbóreo
playa: litoral arenoso
ciudad: urbe poblada
pueblo: aldea rural
valle: depresión geográfica
volcán: cono eruptivo
desierto: árido extenso
isla: tierra insular
océano: masa acuática
lago: cuerpo lacustre
campo: terreno agrícola
selva: jungla tropical
cueva: cavidad subterránea
carretera: vía pavimentada
puente: estructura vial
costa: franja litoral
puerto: muelle marítimo
parque: área verde
amor: afecto profundo
libertad: autonomía personal
fuerza: capacidad física
sabiduría: conocimiento profundo
paz: armonía social
energía: vitalidad motriz
tiempo: dimensión cronológica
espacio: extensión tridimensional
vida: existencia biológica
muerte: cese vital
alegría: emoción positiva
tristeza: sentimiento melancólico
justicia: equidad legal
honor: dignidad moral
amistad: vínculo afectivo
valentía: coraje audaz
verdad: veracidad factual
paciencia: tolerancia calma
fe: creencia espiritual
sol: estrella central
luna: satélite terrestre
estrella: cuerpo celeste
planeta: astro orbitante
galaxia: sistema estelar
universo: cosmos infinito
átomo: partícula elemental
molécula: unión atómica
célula: unidad viva
gen: segmento ADN
virus: agente infeccioso
bacteria: microorganismo procariota
hongo: organismo eucariota
árbol: planta leñosa
flor: órgano reproductivo
hoja: estructura fotosintética
raíz: anclaje subterráneo
fruta: ovario maduro
semilla: embrión vegetal
clima: condición atmosférica
tormenta: perturbación meteorológica
viento: corriente aérea
lluvia: precipitación hídrica
nieve: cristal helado
rayo: descarga eléctrica
trueno: onda sonora
arcoíris: fenómeno óptico
aurora: crepúsculo matutino
atardecer: ocaso solar
medianoche: hora cúspide
mediodía: zenit solar
primavera: estación renacimiento
verano: temporada cálida
otoño: fase caducifolia
invierno: período gélido
calor: transferencia térmica
frío: ausencia calor
luz: radiación visible
oscuridad: falta luz
color: percepción espectral
sonido: vibración audible
silencio: ausencia sonora
olor: estímulo olfativo
sabor: sensación gustativa
tacto: contacto sensorial
vista: percepción visual
oído: sentido auditivo
olfato: detección química
gusto: receptor lingual
piel: órgano táctil
corazón: bomba cardíaca
cerebro: centro nervioso
pulmón: órgano respiratorio
hígado: glándula metabólica
riñón: filtro renal
hueso: tejido esquelético
músculo: fibra contráctil
sangre: fluido vital
nervio: conductor impulsos
piel: barrera epidérmica
ojo: órgano óptico
nariz: estructura olfativa
boca: cavidad oral
mano: extremidad prensil
pie: soporte podal
cabeza: región cefálica
cuello: unión cervical
brazo: miembro superior
pierna: miembro inferior
dedo: apéndice digital
uña: cubierta queratina
cabello: filamento piloso
diente: estructura dental
lengua: músculo gustativo
garganta: vía faríngea
estómago: saco digestivo
intestino: tubo absorbente
vejiga: reservorio urinario
piel: tegumento externo
sudor: secreción termorreguladora
lágrima: fluido ocular
saliva: enzima bucal
moco: mucosidad protectora
bilis: jugo hepático
orina: excreción renal
heces: residuo intestinal
esperma: gameto masculino
óvulo: célula reproductiva
embarazo: gestación fetal
parto: expulsión neonatal
infancia: etapa temprana
adolescencia: fase puberal
juventud: período vigor
madurez: plenitud adulta
vejez: senectud avanzada
nacimiento: inicio vital
crecimiento: desarrollo progresivo
envejecimiento: deterioro cronológico
salud: bienestar integral
enfermedad: alteración patológica
medicina: ciencia curativa
cirugía: intervención quirúrgica
vacuna: inmunización preventiva
antibiótico: agente bactericida
analgésico: aliviador dolor
anestesia: supresión sensitiva
radiografía: imagen ósea
ecografía: ultrasonido diagnóstico
resonancia: campo magnético
terapia: tratamiento curativo
rehabilitación: recuperación funcional
nutrición: ingesta alimentaria
dieta: régimen nutricional
ejercicio: actividad física
descanso: reposo reparador
sueño: estado inconsciente
pesadilla: sueño angustioso
insomnio: falta sueño
ronquido: vibración faríngea
bostezo: reflejo respiratorio
estornudo: expulsión nasal
tos: reflejo pulmonar
hipo: contracción diafragmática
eructo: liberación gaseosa
flatulencia: gas intestinal
hambre: necesidad alimentaria
sed: requerimiento hídrico
apetito: deseo comestible
saciedad: plenitud digestiva
náusea: malestar estomacal
vómito: eyección gástrica
diarrea: evacuación líquida
estreñimiento: retención fecal
alergia: reacción inmune
asma: constricción bronquial
diabetes: desorden glucémico
cáncer: proliferación celular
infarto: obstrucción cardíaca
